Total Times:	3
Total Samples:	6
Total Genes:	10
Time	0
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5
0	G-0	1	2	2	2	1	4	
1	G-1	2	3	4	1	3	3	
2	G-2	2	3	4	1	3	2	
3	G-3	2	2	3	3	1	3	
4	G-4	2	3	3	2	4	3	
5	G-5	1	4	2	2	3	2	
6	G-6	1	4	2	1	2	2	
7	G-7	2	4	2	2	1	2	
8	G-8	1	4	1	2	3	1	
9	G-9	2	4	1	3	2	1	
Time	1
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5
0	G-0	2	3	4	1	3	3	
1	G-1	2	3	4	1	3	2	
2	G-2	3	3	4	2	3	1	
3	G-3	2	3	3	2	4	3	
4	G-4	3	3	4	2	3	3	
5	G-5	1	4	2	1	2	2	
6	G-6	1	4	4	2	2	2	
7	G-7	2	4	2	2	1	2	
8	G-8	2	4	1	3	2	1	
9	G-9	3	4	1	3	1	1	
Time	2
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5
0	G-0	2	3	4	1	3	2	
1	G-1	3	3	4	2	3	1	
2	G-2	3	3	4	2	2	3	
3	G-3	3	3	4	2	3	3	
4	G-4	3	4	4	2	4	3	
5	G-5	1	4	4	2	2	2	
6	G-6	1	4	4	3	2	2	
7	G-7	2	4	1	1	4	2	
8	G-8	3	4	1	3	1	1	
9	G-9	3	4	1	3	2	1	
